id,Longitude,Latitude,Elevation,Line
Jurong East Mrt,103.742004,1.334308,0,1
Bukit Batok Mrt,103.74953,1.34878,0,1
Bukit Gombak,103.751839,1.358863,0,1
Choa Chu Kang,103.74424,1.385482,0,1
Yew Tee,103.747339,1.397567,0,1
Kranji,103.762139,1.425298,0,1
Marsiling,103.774073,1.432544,0,1
Woodlands,103.786484,1.437094,0,1
Admiralty,103.800934,1.44069,0,1
Sembawang,103.820152,1.449025,0,1
Yishun MRT,103.834899,1.429325,0,1
Khatib,103.832945,1.417366,0,1
Yio Chu Kang,103.844818,1.381905,0,1
Ang Mo Kio,103.849449,1.370016,0,1
Bishan(Cir),103.8489103,1.3508499,0,1
Braddell MRT,103.846545,1.340674,0,1
Toa Payoh,103.846519,1.333308,0,1
Novena,103.843844,1.320053,0,1
Newton,103.837926,1.312482,0,1
Orchard,103.831889,1.30466,0,1
Somerset,103.838693,1.300471,0,1
Dhoby Ghaut,103.846039,1.298745,0,1
City Hall,103.851963,1.293034,0,1
Raffles Place,103.851454,1.283933,0,1
Marina Bay,103.85467,1.2761,0,1
Marina South Pier MRT Station,103.863338,1.271076,0,1
Pasir Ris,103.949245,1.373006,0,2
Tampines,103.945229,1.353092,0,2
Joo Koon,103.67848,1.32774,0,2
Simei,103.953507,1.343089,0,2
Tanah Merah,103.946579,1.327257,0,2
Expo,103.961381,1.334632,0,2
Changi Airport,103.988836,1.357371,0,2
Bedok MRT,103.930092,1.324025,0,2
Kembangan MRT,103.912938,1.321021,0,2
Eunos MRT Station,103.903107,1.319724,0,2
Paya Lebar(Cir),103.8934382,1.3181438,0,2
Aljunied MRT Station,103.882952,1.316431,0,2
Kallang,103.871399,1.311469,0,2
Lavender,103.862951,1.307226,0,2
Bugis(DT),103.8562904,1.3010171,0,2
City Hall MRT(Red),103.852332,1.2931225,0,2
Raffles Place(Red),103.8519261,1.283933,0,2
Tanjong Pagar,103.84659,1.276671,0,2
Outram Park MRT(Purple),103.839291,1.281197,0,2
Tiong Bahru,103.826958,1.286081,0,2
Redhill MRT,103.81672,1.289632,0,2
Queenstown,103.805998,1.294756,0,2
Buona Vista(Cir),103.79038,1.307285,0,2
Dover,103.778653,1.311322,0,2
Clementi MRT,103.765212,1.315089,0,2
Jurong East,103.742343,1.333061,0,2
Chinese Garden,103.732581,1.342376,0,2
Lakeside,103.720725,1.344237,0,2
Boon Lay,103.705955,1.338567,0,2
Pioneer MRT,103.697379,1.33761,0,2
Commonwealth,103.798225,1.302559,0,2
Punggol,103.902412,1.405216,0,3
Sengkang,103.89537,1.391254,0,3
Buangkok,103.892747,1.382431,0,3
Hougang,103.892448,1.370927,0,3
Kovan,103.885363,1.36007,0,3
Serangoon(Cir),103.8741875,1.3494341,0,3
Woodleigh,103.87079,1.33935,0,3
Potong Pasir,103.869278,1.331355,0,3
Boon Keng,103.861938,1.319582,0,3
Farrer Park,103.8547,1.312413,0,3
Little India,103.849678,1.306348,0,3
Dhoby Ghaut(Cir+Red),103.8457342,1.2986036,0,3
Clarke Quay,103.846756,1.288477,0,3
Chinatown MRT(DT),103.842845,1.2838142,0,3
Outram Park(G),103.83897,1.281321,0,3
HarbourFront(Cir),103.820505,1.265973,0,3
Bras Basah,103.850436,1.297507,0,4
Esplanade,103.855381,1.293436,0,4
Marina Bay,103.85467,1.2761,0,4
Bayfront(DT),103.85818,1.2812166,0,4
Promenade(DT),103.8590384,1.2937448,0,4
Nicholl Highway MRT,103.864124,1.299521,0,4
Stadium,103.875357,1.302776,0,4
Mountbatten,103.882531,1.306306,0,4
Dakota,103.888253,1.308289,0,4
Paya Lebar,103.893009,1.318058,0,4
MacPherson,103.889867,1.326745,0,4
Tai Seng,103.887751,1.33589,0,4
Bartley,103.87997,1.34261,0,4
Serangoon MRT,103.872778,1.34896,0,4
Lorong Chuan,103.86353,1.35202,0,4
Bishan,103.848183,1.350772,0,4
Marymount,103.839492,1.349078,0,4
Caldecott,103.839447,1.337761,0,4
Botanic Gardens,103.815181,1.322652,0,4
Farrer Road,103.807431,1.317319,0,4
Holland Village,103.796208,1.312078,0,4
Buona Vista MRT,103.788985,1.307309,0,4
One-North,103.787002,1.299173,0,4
Kent Ridge,103.784394,1.293383,0,4
Haw Par Villa,103.781867,1.282386,0,4
Pasir Panjang,103.791358,1.276167,0,4
Labrador Park,103.802908,1.272267,0,4
Telok Blangah,103.809678,1.270572,0,4
HarbourFront,103.820505,1.265973,0,4
Bugis,103.85599,1.30106,0,5
Promenade,103.85996,1.293799,0,5
Bayfront,103.858954,1.281299,0,5
DownTown,103.852747,1.279358,0,5
Telok Ayer,103.848472,1.28205,0,5
Chinatown MRT,103.84439,1.285702,0,5
