Name,Latitude,Longitude,IconColor,
Anderson Secondary School ,1.3744835,103.8515593,red, 
Ang Mo Kio Secondary School ,1.3678639,103.8425537, red, 
CHIJ St Nicholas Girls' School ,1.3738907,103.8347323, red, 
Chong Boon Secondary School ,1.3643817,103.8577068, red, 
Deyi Secondary School ,1.3661235,103.8523838, red, 
Mayflower Secondary School ,1.3686826,103.8353279, red, 
Presbyterian High School ,1.382254,103.8431, red, 
Yio Chu Kang Secondary School ,1.377635,103.842103, red, 
Anglican High School ,1.3308355,103.9417122, red, 
Bedok Green Secondary School ,1.3340437,103.9353046, red, 
Bedok North Secondary School ,1.3346003,103.9100996, red, 
Bedok South Secondary School ,1.3248089,103.950977, red, 
Bedok View Secondary School ,1.3248553,103.9440514, red, 
Damai Secondary School ,1.3370577,103.9270478, red, 
Ping Yi Secondary School ,1.3277313,103.920322, red, 
St. Anthonys Canossian Secondary School ,1.3353473,103.9419532, red, 
St Patrick's School ,1.3092299,103.916644, red, 
Temasek Secondary School ,1.3157589,103.9471669, red, 
Temasek Junior College ,1.3185603,103.9355401, red, 
Victoria School ,1.3085731,103.9277515, red, 
Bishan Park Secondary School ,1.3643739,103.8328855, red, 
School Bus Transport Catholic High School ,1.3993707,103.8719037, red, 
Holy Innocents' High School ,1.371204,103.896018, red, 
Hai Sing Catholic School ,1.3744495,103.9548524, red, 
River Valley High School ,1.3434011,103.7091217, red, 
School Uniform & P.E. Attire ,1.305895,103.831733, red, 
Chung Cheng High School (Main) ,1.3054121,103.8915495, red, 
Maris Stella High School ,1.34224,103.878278, red, 
Catholic High School ,1.3543564,103.8451757, red, 
Anglican High School ,1.3308355,103.9417122, red, 
Guangyang Secondary School ,1.344693,103.850566, red, 
Kuo Chuan Presbyterian Secondary School ,1.350135,103.854907, red, 
Peirce Secondary School ,1.3662806,103.8298057, red, 
è_±___Œ£Ç____ª¢ ,1.3464523,103.843607, red, 
Whitley Secondary School ,1.3552718,103.84272, red, 
Bukit Batok Secondary School ,1.348506,103.740867, red, 
Bukit View Secondary School ,1.345838,103.7522767, red, 
Dunearn Secondary School ,1.363886,103.74518, red, 
Hillgrove Secondary School ,1.3531321,103.7531743, red, 
