Name,Latitude,Longitude,IconColor
AMK Hub ,1.3695089,103.8484518,yellow
Albert Centre ,1.3009954,103.8541995,yellow
OG Albert ,1.3024249,103.8536257,yellow
Anchorpoint ,1.2888176,103.8051276,yellow
Bukit Timah Plaza ,1.3388944,103.7787251,yellow
Bras Basah Complex ,1.2970407,103.8536356,yellow
Bukit Timah Shopping Centre ,1.3432041,103.7760055,yellow
Capital Square Three ,1.28383,103.84865,yellow
Capitol Building ,1.2935133,103.8511234,yellow
Cineleisure Orchard ,1.3017595,103.8363416,yellow
Courts Causeway Point ,1.4361018,103.7859547,yellow
JCube ,1.3333189,103.740208,yellow
Jurong mall,1.339832,103.7066087,yellow
SunCity,1.3498082,103.7491802,yellow
Nex ,1.3507722,103.8722242,yellow
Djitsun Mall ,1.3728821,103.8476553,yellow
Healthway Medical ,1.3728112,103.8938377,yellow
Wan Yang Health Product and Foot Reflexology Centre ,1.3694247,103.848535,yellow
Waterway Point ,1.4062124,103.9012322,yellow
Orchard Central ,1.3006863,103.8397382,yellow
Clarke Quay Central ,1.2891255,103.8466869,yellow
The Centrepoint ,1.3019947,103.8398264,yellow
Century Square ,1.3524209,103.9438009,yellow
Coliwa Department Store Chinatown Complex ,1.2827291,103.8431616,yellow
Chinatown Plaza ,1.278704,103.841996,yellow
Straits Chinese Nonya Restaurant Chinatown Plaza ,1.278875,103.841872,yellow
ChinaTown Point ,1.2851685,103.8450339,yellow
D'Zander Interiors Pte Ltd ,1.2888701,103.8341113,yellow
Concorde Shopping Centre ,1.288886,103.834287,yellow
Concorde Hotel Singapore ,1.300525,103.8421646,yellow
Kim Dae Mun Korean Food ,1.300618,103.842224,yellow
Recruitnet Services Pte Ltd ,1.2872277,103.8477568,yellow
Coronation Plaza ,1.3239847,103.8102992,yellow
Delfi Orchard ,1.3070942,103.8284188,yellow
D'Resort @ Downtown East ,1.3797488,103.9551546,yellow
Esplanade - Theatres on the Bay,1.2897934,103.8558166,yellow
Eastpoint Mall ,1.3427264,103.9530824,yellow
Excelsior Shopping Centre ,1.2921368,103.8498945,yellow
Far East Plaza ,1.30732,103.8331609,yellow
Far East Shopping Centre,1.3054322,103.8299901,yellow
Fortune Centre ,1.300378,103.8521508,yellow
Forum The Shopping Mall ,1.3062189,103.82867,yellow
Gods Arcade shopping mall,1.3015056,103.8544902,yellow
Funan Digitalife Mall ,1.2915752,103.8499953,yellow
Malay Village ,1.3167515,103.8960913,yellow
West Coast Plaza ,1.3036436,103.7658921,yellow
Golden Mile Complex ,1.3028085,103.8652926,yellow
Goldhill Plaza ,1.3178466,103.8434764,yellow
HarbourFront Centre ,1.2644731,103.8201625,yellow
Heartland Mall ,1.3595839,103.8852768,yellow
Holland Road Shopping Centre ,1.3104182,103.7953895,yellow
Guardian ,1.3792768,103.8879797,yellow
Bugis+ ,1.2995955,103.8542191,yellow
IMM Building ,1.3345417,103.7469758,yellow
International Building ,1.306077,103.830859,yellow
Junction 8 ,1.3604421,103.8522322,yellow
JCube ,1.3333189,103.740208,yellow
Jurong Point ,1.3395626,103.7057463,yellow
Katong Mall ,1.3052967,103.9053547,yellow
Katong Shopping Centre ,1.3037765,103.9009695,yellow
Kembangan Plaza ,1.32044,103.91272,yellow
IMM Building ,1.3345417,103.7469758,yellow
Little India Arcade ,1.3055264,103.8518156,yellow
Lucky Chinatown Restaurant ,1.2836425,103.8433049,yellow
Marina Square ,1.2909435,103.8576287,yellow
Bon-Food Midpoint Orchard ,1.3016806,103.8386177,yellow
Mustafa's Pte Ltd ,1.28983,103.849601,yellow
Ngee Ann City,1.3025572,103.834568,yellow
Northpoint Shopping Centre ,1.4293527,103.8357757,yellow
Velocity ,1.3200002,103.8437955,yellow
Watsons - Ntuc Hougang Mall ,1.3724549,103.8938348,yellow
FairPrice ,1.3714499,103.8945053,yellow
Ntuc Lifestyle Centre Hougang Pte Ltd ,1.3726238,103.8939228,yellow
OG Orchard Point ,1.3013261,103.8405742,yellow
One Fullerton ,1.2857431,103.8539626,yellow
Orchard Plaza ,1.3009909,103.841107,yellow
Plaza Singapura ,1.3006255,103.845061,yellow
Superbowl Development Parklane Shopping Mall ,1.3007336,103.8494315,yellow
People's Park Complex ,1.2841977,103.8425488,yellow
Plaza Singapura ,1.3006255,103.845061,yellow
Queensway Shopping Centre ,1.2875582,103.8033277,yellow
Raffles City Shopping Centre,1.2938971,103.8532958,yellow
Rochor Centre ,1.302533,103.854911,yellow
Roxy Square ,1.3042193,103.9042311,yellow
Square 2 ,1.3207735,103.8442044,yellow
Scotts Square ,1.3058439,103.8328673,yellow
Sembawang Shopping Centre ,1.4418024,103.824875,yellow
Serangoon Plaza ,1.3108938,103.8552309,yellow
Rida Video Centre Pte Ltd ,1.3238415,103.8100076,yellow
Drs Jiten and Caroline Medical Centre ,1.322372,103.81374,yellow
Singapore Shopping Centre ,1.298146,103.8441579,yellow
Sun Plaza ,1.4482279,103.8194919,yellow
Suntec City Mall ,1.2953671,103.859532,yellow
PUTIEN Tampines Mall ,1.35243,103.944764,yellow
Tampines Mall ,1.3525027,103.9446937,yellow
Tanglin Shopping Centre ,1.3063036,103.8269898,yellow
Tang Plaza ,1.3046567,103.8326706,yellow
Tekka Centre ,1.306251,103.850654,yellow
The Verge Shopping Mall ,1.3050618,103.8514425,yellow
Thomson Plaza ,1.354637,103.830935,yellow
UE Square Shopping Mall ,1.292157,103.842684,yellow
United Square Shopping Mall ,1.3171694,103.8435788,yellow
Cold Storage The Village Centre ,1.2795583,103.7860802,yellow
Vista Point ,1.4309205,103.7939761,yellow
VivoCity ,1.264318,103.8222916,yellow
Velocity ,1.3200002,103.8437955,yellow
SunCity mall,1.3498082,103.7491802,yellow
Wheelock Place ,1.30466,103.8307573,yellow
Wisma Atria Shopping Center ,1.3037732,103.833048,yellow
SATA CommHealth Woodlands Medical Centre ,1.43555,103.786899,yellow
New York Skin Solutions - Woodlands Civic Centre ,1.4402322,103.7705495,yellow
Woodlands Point ,1.4407393,103.7687733,yellow
Yew Tee Point ,1.3972022,103.746697,yellow
313@Somerset,1.30104,103.8385,yellow
The Star Vista,1.30679,103.78838,yellow
Bugis Junction,1.29952,103.85569,yellow
Bugis Cube,1.29815,103.85556,yellow
Yoshinoya - Change Alley,1.284,103.85213,yellow
City Square Mall,1.31147,103.85666,yellow
Strip Co-Ed Great World City,1.29405,103.83205,yellow
ION Orchard,1.30398,103.83203,yellow
Jem,1.33302,103.74348,yellow
Westgate,1.33406,103.74286,yellow
Clementi Mall,1.31494,103.76423,yellow
